CO,Name,Values
1,Alameda,3234630869
2,Alpine,3209958.29
3,Amador,56859498.39
4,Butte,394374552.9
5,Calaveras,73749774.52
6,Colusa,63555921.04
7,Contra Costa,2420500760
8,Del Norte,62357127.72
9,El Dorado,338059445.7
10,Fresno,3219618362
11,Glenn,70729941.73
12,Humboldt,238276524
13,Imperial,607999629.9
14,Inyo,46891391.19
15,Kern,2861040225
16,Kings,405410295.8
17,Lake,158903156.3
18,Lassen,47121819.53
19,Los Angeles,21548573634
20,Madera,496769663.1
21,Marin,558296750.1
22,Mariposa,26696811.55
23,Mendocino,208952845.5
24,Merced,887562038.1
25,Modoc,22278194.41
26,Mono,30067812.36
27,Monterey,1276112668
28,Napa,293822377.4
29,Nevada,114444157.2
30,Orange,6954390053
31,Placer,920417055
32,Plumas,34485833.18
33,Riverside,6346377392
34,Sacramento,3220119344
35,San Benito,153671641.4
36,San Bernardino,5973873267
37,San Diego,6615452919
38,San Francisco,1056667857
39,San Joaquin,1922873861
40,San Luis Obispo,497971572.4
41,San Mateo,1573205737
42,Santa Barbara,1034130313
43,Santa Clara,3984768922
44,Santa Cruz,545809804.7
45,Shasta,343290160.2
46,Sierra,7427983.47
47,Siskiyou,89129432.62
48,Solano,790337663.1
49,Sonoma,970493596.3
50,Stanislaus,1589766056
51,Sutter,251281902.3
52,Tehama,162087062.3
53,Trinity,26300817.68
54,Tulare,1599919805
55,Tuolumne,77121671.53
56,Ventura,1931327295
57,Yolo,417302466.3
58,Yuba,211693604.6
