CO,Name,Value
1,Alameda Unified,140716572.5
1,Albany City Unified,59371521.45
1,Berkeley Unified,200192846
1,Castro Valley Unified,126970952.9
1,Emery Unified,16338889.87
1,Fremont Unified,473669616.1
1,Hayward Unified,337492817.7
1,Livermore Valley Joint Unified,192253800.6
1,Mountain House Elementary,600598.47
1,Newark Unified,77829954.65
1,New Haven Unified,148312851.4
1,Oakland Unified,730140590.7
1,Piedmont City Unified,52443902.64
1,San Leandro Unified,142901863
1,San Lorenzo Unified,139295565.1
1,Dublin Unified,178876257.2
1,Pleasanton Unified,212649049.4
1,Sunol Glen Unified,4573219.57
2,Alpine County Unified,3209958.29
3,Amador County Unified,56859498.39
4,Bangor Union Elementary,1568768.49
4,Biggs Unified,7925829.16
4,Chico Unified,183227750.1
4,Durham Unified,12791231.53
4,Golden Feather Union Elementary,2158189.4
4,Manzanita Elementary,4122613.25
4,Oroville City Elementary,36689577.26
4,Oroville Union High,38409979.34
4,Palermo Union Elementary,20240928.96
4,Paradise Unified,30038294.91
4,Thermalito Union Elementary,25372820.44
4,Pioneer Union Elementary,1171673.95
4,Gridley Unified,30656896.08
5,Bret Harte Union High,14640944.92
5,Calaveras Unified,39785222.05
5,Mark Twain Union Elementary,9854406.96
5,Vallecito Union Elementary,9469200.59
6,Colusa Unified,20923498.27
6,Maxwell Unified,6163057.33
6,Pierce Joint Unified,19015150.66
6,Williams Unified,17454214.78
7,Acalanes Union High,97194598.33
7,Antioch Unified,254215108.2
7,Brentwood Union Elementary,130928363.3
7,Byron Union Elementary,19113627.02
7,Canyon Elementary,992322.27
7,John Swett Unified,22581849.96
7,Knightsen Elementary,7255916.19
7,Lafayette Elementary,49417943.27
7,Liberty Union High,117746855.9
7,Martinez Unified,57447668.09
7,Moraga Elementary,27288863.39
7,Mt. Diablo Unified,420265358.5
7,Oakley Union Elementary,69010566.67
7,Orinda Union Elementary,38286425.43
7,Pittsburg Unified,182411436.5
7,West Contra Costa Unified,451586385.7
7,San Ramon Valley Unified,426959419.2
7,Walnut Creek Elementary,47798052.13
8,Del Norte County Unified,62357127.72
9,Buckeye Union Elementary,57605220.66
9,Camino Union Elementary,6472188.98
9,El Dorado Union High,94667119.4
9,Gold Oak Union Elementary,5693601.05
9,Gold Trail Union Elementary,7248766.76
9,Indian Diggings Elementary,505516.68
9,Lake Tahoe Unified,59987385.51
9,Latrobe Elementary,2956958.51
9,Mother Lode Union Elementary,13372873.68
9,Pioneer Union Elementary,4004740.89
9,Placerville Union Elementary,16136853.17
9,Pollock Pines Elementary,7836324.71
9,Rescue Union Elementary,42690311.85
9,Silver Fork Elementary,498811.71
9,Black Oak Mine Unified,18382772.17
10,Alvina Elementary,2951007.15
10,Big Creek Elementary,1573196.37
10,Burrel Union Elementary,2389920.15
10,Clay Joint Elementary,2996234.72
10,Clovis Unified,583122924.2
10,Coalinga-Huron Unified,79888014.41
10,Fowler Unified,39648268.17
10,Fresno Unified,1328413593
10,Kingsburg Elementary Charter,30093858.86
10,Kingsburg Joint Union High,19523171.37
10,Kings Canyon Joint Unified,164796639.1
10,Laton Joint Unified,12352461.99
10,Monroe Elementary,3394767.71
10,Orange Center Elementary,5473998.76
10,Pacific Union Elementary,6010626.77
10,Parlier Unified,55635690.82
10,Pine Ridge Elementary,2598507.67
10,Raisin City Elementary,4729570.57
10,Sanger Unified,184634720.9
10,Selma Unified,110885935
10,Washington Colony Elementary,6930432.75
10,West Park Elementary,6048981.06
10,Westside Elementary,4740430.34
10,Firebaugh-Las Deltas Unified,38023642.71
10,Central Unified,240297842.5
10,Kerman Unified,78227094
10,Mendota Unified,59140600.57
10,Golden Plains Unified,26413192.55
10,Sierra Unified,22461375.68
10,Riverdale Joint Unified,26054947.15
10,Caruthers Unified,25406155.66
10,Washington Unified,44760559.38
11,Capay Joint Union Elementary,2435099.62
11,Lake Elementary,2309381.85
11,Plaza Elementary,2176106.43
11,Princeton Joint Unified,2896773.26
11,Stony Creek Joint Unified,2701564.51
11,Willows Unified,18959910.15
11,Orland Joint Unified,30116832.4
11,Hamilton Unified,9134273.51
12,Arcata Elementary,9441667.91
12,Northern Humboldt Union High,26010278.53
12,Big Lagoon Union Elementary,622267.74
12,Blue Lake Union Elementary,2837685.58
12,Bridgeville Elementary,937574.43
12,Cuddeback Union Elementary,2251965.39
12,Cutten Elementary,7164171.05
12,Fieldbrook Elementary,1464592.37
12,Fortuna Union High,15129700.6
12,Freshwater Elementary,3928071.25
12,Garfield Elementary,1011266.31
12,Green Point Elementary,401808.45
12,Hydesville Elementary,2616229.3
12,Jacoby Creek Elementary,5603553.82
12,Klamath-Trinity Joint Unified,21872794.7
12,Kneeland Elementary,709253.63
12,Loleta Union Elementary,2099099.17
12,Maple Creek Elementary,404902.72
12,Mckinleyville Union Elementary,15017876.97
12,Orick Elementary,740084.47
12,Pacific Union Elementary,7220257.61
12,Peninsula Union Elementary,1344200.36
12,Rio Dell Elementary,4999064.77
12,Scotia Union Elementary,2611927.83
12,South Bay Union Elementary,6558709.75
12,Southern Humboldt Joint Unified,12295730.62
12,Trinidad Union Elementary,2754095.43
12,Ferndale Unified,7128579.36
12,Mattole Unified,1263385.21
12,Eureka City Unified,53441146.5
12,Fortuna Elementary,18394582.13
13,Brawley Elementary,64322638.49
13,Brawley Union High,36839503.78
13,Calexico Unified,158500396.1
13,Calipatria Unified,19279843.32
13,Central Union High,71673637.3
13,El Centro Elementary,85947533.67
13,Heber Elementary,21876208.44
13,Holtville Unified,26883187.14
13,Imperial Unified,62607290.47
13,Magnolia Union Elementary,1606050.42
13,Mccabe Union Elementary,16703258.91
13,Meadows Union Elementary,7521168.29
13,Mulberry Elementary,986067.66
13,San Pasqual Valley Unified,17373773.18
13,Seeley Union Elementary,7479922.78
13,Westmorland Union Elementary,8399149.98
14,Big Pine Unified,4751099.56
14,Death Valley Unified,1308792.53
14,Lone Pine Unified,6968538.46
14,Owens Valley Unified,2874911.37
14,Round Valley Joint Elementary,1594133.9
14,Bishop Unified,29393915.37
15,Arvin Union Elementary,52503210.76
15,Bakersfield City Elementary,522472029.6
15,Beardsley Elementary,32495642.22
15,Blake Elementary,272664.32
15,Panama-Buena Vista Union Elementary,282680472
15,Buttonwillow Union Elementary,6448865.01
15,Caliente Union Elementary,1230929.88
15,Delano Union Elementary,99151129.07
15,Delano Joint Union High,76915080.32
15,Di Giorgio Elementary,4057377.3
15,Edison Elementary,18910250.41
15,Elk Hills Elementary,2764237.73
15,Fairfax Elementary,42819804.88
15,Fruitvale Elementary,43538696.65
15,General Shafter Elementary,3570467.63
15,Greenfield Union,140962668.6
15,Kern High,698764449.9
15,Kernville Union Elementary,15083139.57
15,Lakeside Union Elementary,17471269.79
15,Lamont Elementary,43118460.19
15,Richland Union Elementary,47921299.13
15,Linns Valley-Poso Flat Union,708967.04
15,Lost Hills Union Elementary,7652245.6
15,Maple Elementary,4150785.34
15,Maricopa Unified,7430256.08
15,Mckittrick Elementary,2679011.83
15,Midway Elementary,1633216.31
15,Mojave Unified,45333722.49
15,Muroc Joint Unified,26540254.3
15,Norris Elementary,46372416.4
15,Pond Union Elementary,3517812.44
15,Rosedale Union Elementary,72168103.1
15,Semitropic Elementary,4099101.53
15,Southern Kern Unified,54076446.77
15,South Fork Union Elementary,5026983.54
15,Standard Elementary,46740668.14
15,Taft City Elementary,31582365.36
15,Taft Union High,27200773.66
